6;Чери;tmChery;0;0;;
7;фиат;tmFiat;0;0;;
8;нива-Шевроле;tmNIVA_Chevrolet;0;0;;
9;лифан;tmLifan;0;0;;
10;дэу;tmDaewoo;0;0;;
11;дайхатсу;tmDaihatsu;0;0;;
12;газель;tmGAZEL;0;0;;
13;Шкода;tmSkoda;0;0;;
14;Шевроле-Нива;tmChevrolet-Niva;0;0;;
15;Шевроле-Ланос;tmChevrolet-Lanos;0;0;;
16;Шевроле;tmChevrolet;0;0;;
17;Хонда;tmHonda;0;0;;
18;Хендай;tmHyundai;0;0;;
19;Форд;tmFord;0;0;;
20;Фольксваген;tmVolkswagen;0;0;;
21;Тойота;tmToyota;0;0;;
22;Сузуки;tmSuzuki;0;0;;
23;Субару;tmSubaru;0;0;;
24;Ситроен;tmCitroen;0;0;;
25;Сеат;tmSeat;0;0;;
26;Рено;tmRenault;0;0;;
27;Протон;tmProton;0;0;;
28;Лада-Приора;tmPriora;0;0;;
29;Порше;tmPorsche;0;0;;
30;Пежо;tmPeugeot;0;0;;
31;Опель;tmOpel;0;0;;
32;Ниссан кашкай;tmNissan;0;0;;
33;Ниссан;tmNissan;0;0;;
34;Мицубиси;tmMitsubishi;0;0;;
35;Мерседес-Бенц;tmMercedes-Benz;0;0;;
36;Мерседес;tmMercedes;0;0;;
37;Мазда;tmMazda;0;0;;
38;Лада-Калина;tmLADA_Kalina;0;0;;
39;Лада-Гранта;tmLADA;0;0;;
40;Киа;tmKia;0;0;;
41;Калина;tmLADA_Kalina;0;0;;
42;ЗАЗ-Сэнс;tmZAZ-Sens;0;0;;
43;Джип;tmJeep;0;0;;
44;Волга;tmVolga;0;0;;
45;Ваз 99;tmVAZ99;0;0;;
46;Ваз 15;tmVAZ15;0;0;;
47;Ваз 14;tmVAZ14;0;0;;
49;Ваз 12;tmVAZ12;0;0;;
50;Ваз 11;tmVAZ11;0;0;;
51;Ваз 10;tmVAZ10;0;0;;
52;Ваз 09;tmVAZ09;0;0;;
53;Ваз 07;tmVAZ07;0;0;;
54;Ваз 06;tmVAZ06;0;0;;
55;Ваз 05;tmVAZ05;0;0;;
56;Ваз 04;tmVAZ04;0;0;;
57;БэЭмВэ;tmBMW;0;0;;
58;Бад;tmBYD;0;0;;
59;Ауди;tmAudi;0;0;;
60;Салатовый;tmsalat;1;0;;
61;Бежевый;tmbeige;1;0;;
62;Белый;tmwhite;1;0;;
63;Бордовый;tmvinous;1;0;;
64;Вишнёвый;tmcherry_coloured;1;0;;
65;Голубой;tmlight_blue_light;1;0;;
66;Жёлто-зелёный;tmlime;1;0;;
67;Жёлтый;tmyellow;1;0;;
68;Зелёный;tmgreen;1;0;;
69;Золотистый;tmgolden;1;0;;
70;Коричневый;tmbrown;1;0;;
71;Красный;tmred;1;0;;
72;Светло-зелёный;tmlight_green;1;0;;
73;Светло-коричневый;tmlight_brown;1;0;;
74;Светло-серый;tmlight_gray;1;0;;
75;Серебристый;tmsilver;1;0;;
76;Серо-голубой;tmgray;1;0;;
77;Синий;tmblue;1;0;;
78;Тёмно-зелёный;tmdark_green;1;0;;
79;Тёмно-красный;tmdark_red;1;0;;
80;Тёмно-серый;tmdark_gray;1;0;;
81;Тёмно-синий;tmdark_blue;1;0;;
82;Фиолетовый;tmviolet;1;0;;
83;Чёрный;tmblack;1;0;;
84;Серый;tmgray;1;0;;
85;один;tm1;2;0;;
86;один_;tm1_;2;0;;
87;десять;tm10;2;0;;
88;десять_;tm10_;2;0;;
89;сто;tm100;2;0;;
90;сто_;tm100_;2;0;;
91;тысяча;tm1000;2;0;;
92;тысяча_;tm1000_;2;0;;
93;десятое;tm10e;2;0;;
94;одиннадцать;tm11;2;0;;
95;одиннадцать_;tm11_;2;0;;
96;одиннадцатое;tm11e;2;0;;
98;двенадцать;tm12;2;0;;
99;двенадцать_;tm12_;2;0;;
100;двенадцатое;tm12e;2;0;;
101;тринадцать;tm13;2;0;;
102;тринадцать_;tm13_;2;0;;
103;тринадцатое;tm13e;2;0;;
104;четырнадцать;tm14;2;0;;
105;четырнадцать_;tm14_;2;0;;
106;четырнадцатое;tm14e;2;0;;
107;пятнадцать;tm15;2;0;;
108;пятнадцать_;tm15_;2;0;;
109;пятнадцатое;tm15e;2;0;;
110;шестнадцать;tm16;2;0;;
111;шестнадцать_;tm16_;2;0;;
112;шестнадцатое;tm16e;2;0;;
113;семнадцать;tm17;2;0;;
114;семнадцать_;tm17_;2;0;;
116;семнадцатое;tm17e;2;0;;
117;восемнадцать;tm18;2;0;;
118;восемнадцать_;tm18_;2;0;;
119;восемнадцатое;tm18e;2;0;;
120;девятнадцать;tm19;2;0;;
121;девятнадцать_;tm19_;2;0;;
122;первое;tm1e;2;0;;
123;два;tm2;2;0;;
124;два_;tm2_;2;0;;
125;второе;tm2e;2;0;;
126;двадцать;tm20;2;0;;
127;двадцать_;tm20_;2;0;;
128;двести;tm200;2;0;;
129;двести_;tm200_;2;0;;
130;двадцатое;tm20e;2;0;;
131;второе;tm2e;2;1;25.03.2013 01:03;4
132;три;tm3;2;0;;
133;три_;tm3_;2;0;;
134;тридцать;tm30;2;0;;
135;тридцать_;tm30_;2;0;;
136;триста;tm300;2;0;;
137;триста_;tm300_;2;0;;
138;тридцатое;tm30e;2;0;;
139;тридцать первое;tm31e;2;0;;
140;третье;tm3e;2;0;;
141;четыре;tm4;2;0;;
142;четыре_;tm4_;2;0;;
143;сорок;tm40;2;0;;
144;сорок_;tm40_;2;0;;
145;четыреста;tm400;2;0;;
146;четыреста_;tm400_;2;0;;
